# meep=1.28.0 res=30.0 cols=t,Ez1,Ez2 dt=4.004 c_err=0.0011 echo=0.0000
4.000000000000000000e+00,3.817440799365608931e-05,4.191283894268455745e-51
4.049999999999999822e+00,2.780459158479958693e-05,4.060482158620365703e-49
4.100000000000000533e+00,1.479096520086391125e-05,3.407973948390312101e-47
4.150000000000000355e+00,-1.162660150323305248e-06,2.493291420595917989e-45
4.200000000000000178e+00,-1.991598116369835489e-05,1.598899956039004463e-43
4.250000000000000000e+00,-4.117619532504228011e-05,9.032936955530628984e-42
4.299999999999999822e+00,-6.492662672524832600e-05,4.516320834662562449e-40
4.350000000000000533e+00,-9.031079303500191900e-05,2.006781221238946313e-38
4.400000000000000355e+00,-1.172606714781568082e-04,7.954761983840253073e-37
4.450000000000000178e+00,-1.445039692352316062e-04,2.822770972677986473e-35
4.500000000000000000e+00,-1.717191839693078326e-04,8.995494376825566060e-34
4.549999999999999822e+00,-1.974170831512046689e-04,2.581883928881208823e-32
4.600000000000000533e+00,-2.208821623994813854e-04,6.692116104709842656e-31
4.650000000000000355e+00,-2.406059497207799290e-04,1.570210404630012917e-29
4.700000000000000178e+00,-2.554562795270673881e-04,3.342560355675791535e-28
4.750000000000000000e+00,-2.640796975397088453e-04,6.468445061168471065e-27
4.800000000000000711e+00,-2.650408827411239281e-04,1.140012914076398823e-25
4.850000000000000533e+00,-2.572941145938563564e-04,1.832824202869051462e-24
4.900000000000000355e+00,-2.393357052496721091e-04,2.691969396251439137e-23
4.950000000000000178e+00,-2.105718031012932315e-04,3.616783089207828240e-22
5.000000000000000000e+00,-1.697493584966903589e-04,4.450122841346482434e-21
5.050000000000000711e+00,-1.168721890745007274e-04,5.019300550086121326e-20
5.100000000000000533e+00,-5.129041907453546180e-05,5.193869154281523223e-19
5.150000000000000355e+00,2.624829161339057015e-05,4.934010605419583044e-18
5.200000000000000178e+00,1.154608949448708512e-04,4.305099079245409753e-17
5.250000000000000000e+00,2.147274844036802053e-04,3.451264426493180562e-16
5.300000000000000711e+00,3.225816231417442123e-04,2.542404057092773942e-15
5.350000000000000533e+00,4.364533578974336982e-04,1.720905457352102841e-14
5.400000000000000355e+00,5.535748748694428777e-04,1.070036093062586980e-13
5.450000000000000178e+00,6.704411957072248674e-04,6.108711790680595839e-13
5.500000000000000000e+00,7.830420006872006915e-04,3.199454983806418153e-12
5.550000000000000711e+00,8.870888128448683064e-04,1.535711277851029014e-11
5.600000000000000533e+00,9.775950294674947902e-04,6.745667524373236584e-11
5.650000000000000355e+00,1.049810729585269132e-03,2.706487811247514295e-10
5.700000000000000178e+00,1.098257771024778364e-03,9.894635736107790253e-10
5.750000000000000000e+00,1.118231345329037413e-03,3.285853554033053985e-09
5.800000000000000711e+00,1.104450007358969213e-03,9.871582240028672557e-09
5.850000000000000533e+00,1.052930682869108580e-03,2.668598530685593942e-08
5.900000000000000355e+00,9.594337433320558346e-04,6.444150259115013942e-08
5.950000000000000178e+00,8.214952467774746430e-04,1.375702518823425920e-07
6.000000000000000000e+00,6.368392557795153446e-04,2.555622786943508099e-07
6.050000000000000711e+00,4.053527759519425563e-04,4.022101821979418306e-07
6.100000000000000533e+00,1.276102369359105137e-04,5.079381828896994298e-07
6.150000000000000355e+00,-1.934034636521791007e-04,4.405634837990640992e-07
6.200000000000000178e+00,-5.535493266956262488e-04,5.294630167239101566e-08
6.250000000000000000e+00,-9.462241900572756484e-04,-7.049729988584850594e-07
6.300000000000000711e+00,-1.363332503065015295e-03,-1.689420604892348009e-06
6.350000000000000533e+00,-1.794506905474456231e-03,-2.622613211546557596e-06
6.400000000000000355e+00,-2.227768752404487868e-03,-3.341026331973548097e-06
