# cols=kx_cyc_per_um,intensity
-1.017857142857142883e+01,7.995627319522075367e-06
-1.000000000000000000e+01,3.953842328443833797e-06
-9.821428571428571175e+00,2.402036554226403390e-05
-9.642857142857142350e+00,8.318063170734013391e-06
-9.464285714285715301e+00,2.565523302729412549e-06
-9.285714285714286476e+00,6.789250689143809791e-06
-9.107142857142857650e+00,3.647120035891286151e-05
-8.928571428571428825e+00,9.814858709502132008e-06
-8.750000000000000000e+00,6.946535740824958583e-07
-8.571428571428571175e+00,4.152748219138292958e-05
-8.392857142857142350e+00,3.455941951835141249e-05
-8.214285714285715301e+00,1.853092340303062467e-05
-8.035714285714286476e+00,3.954241512164733850e-05
-7.857142857142857650e+00,4.789584667500580278e-05
-7.678571428571428825e+00,1.673622955974456920e-05
-7.500000000000000000e+00,3.061393853300486705e-06
-7.321428571428571175e+00,2.875668954814863235e-05
-7.142857142857143238e+00,1.465137485847638836e-05
-6.964285714285714413e+00,3.940265079726150600e-05
-6.785714285714285587e+00,6.305383270205817461e-06
-6.607142857142857650e+00,1.544479206766361055e-05
-6.428571428571428825e+00,1.127554226903747294e-06
-6.250000000000000000e+00,2.302592942562975160e-05
-6.071428571428571175e+00,8.927072660273494714e-05
-5.892857142857143238e+00,1.349490548316117835e-04
-5.714285714285714413e+00,9.463103977257075771e-06
-5.535714285714285587e+00,2.830654184365861154e-05
-5.357142857142857650e+00,1.079055854032502800e-04
-5.178571428571428825e+00,2.830708613595235534e-06
-5.000000000000000000e+00,4.091586276435273491e-05
-4.821428571428571175e+00,1.875261382257721707e-04
-4.642857142857143238e+00,1.044337438294577660e-04
-4.464285714285714413e+00,3.293881597956142116e-05
-4.285714285714285587e+00,1.492013942994803650e-04
-4.107142857142857650e+00,5.964128913280019472e-05
-3.928571428571428825e+00,6.226270070103291665e-05
-3.750000000000000000e+00,7.329992657108139404e-05
-3.571428571428571619e+00,7.134019694817669019e-04
-3.392857142857142794e+00,7.431646363418223226e-05
-3.214285714285714413e+00,4.806023965816016551e-04
-3.035714285714285587e+00,8.505007259238809214e-04
-2.857142857142857206e+00,9.297999165143778794e-04
-2.678571428571428825e+00,4.703484909221304980e-03
-2.500000000000000000e+00,1.333401914248832747e-02
-2.321428571428571619e+00,3.904369191291957408e-04
-2.142857142857142794e+00,3.877784933854763923e-03
-1.964285714285714413e+00,2.478158076530532941e-04
-1.785714285714285809e+00,3.458623486390674344e-03
-1.607142857142857206e+00,2.106446689231485352e-03
-1.428571428571428603e+00,5.998217787274112006e-02
-1.250000000000000000e+00,8.355826989859178877e-02
-1.071428571428571397e+00,1.216806932813455921e-01
-8.928571428571429047e-01,5.635619408502446248e+00
-7.142857142857143016e-01,4.820870612701159352e+00
-5.357142857142856984e-01,6.208010454403703307e+02
-3.571428571428571508e-01,2.031430601658527735e+01
-1.785714285714285754e-01,1.199147856001663683e+02
0.000000000000000000e+00,1.148232960886094922e+01
1.785714285714285754e-01,8.630694283163940781e+03
3.571428571428571508e-01,2.438815146430019354e+01
5.357142857142856984e-01,5.196616471225405576e+02
7.142857142857143016e-01,7.851294549422780733e+01
8.928571428571429047e-01,4.362271192380119622e+00
1.071428571428571397e+00,2.752395306413638748e-02
1.250000000000000000e+00,9.364582905653510286e-03
1.428571428571428603e+00,2.754671521265661741e-02
1.607142857142857206e+00,2.633438490470830715e-03
1.785714285714285809e+00,4.438017243957240524e-03
1.964285714285714413e+00,1.790285052941375642e-03
2.142857142857142794e+00,5.527978541292040068e-03
2.321428571428571619e+00,1.081320220728699188e-03
2.500000000000000000e+00,1.275407823569909768e-02
2.678571428571428825e+00,3.086022946444087929e-03
2.857142857142857206e+00,3.035419439644326074e-04
3.035714285714285587e+00,8.634433269732360097e-04
3.214285714285714413e+00,1.022859284430097842e-03
3.392857142857142794e+00,1.514993239548140995e-04
3.571428571428571619e+00,5.866905253236977995e-04
3.750000000000000000e+00,9.041169419283357324e-05
3.928571428571428825e+00,5.987564685714345672e-05
4.107142857142857650e+00,8.639493330829262898e-05
4.285714285714285587e+00,1.390400783026986590e-04
4.464285714285714413e+00,1.928852195077378605e-05
4.642857142857143238e+00,1.088508158255102864e-04
4.821428571428571175e+00,1.607364019245111975e-04
5.000000000000000000e+00,2.908900889106366198e-05
5.178571428571428825e+00,1.873502455508869283e-06
5.357142857142857650e+00,1.240351130504223365e-04
5.535714285714285587e+00,5.595871250941821451e-05
5.714285714285714413e+00,2.234317600663798120e-05
5.892857142857143238e+00,8.467429244061620689e-05
6.071428571428571175e+00,1.535741864709100194e-04
6.250000000000000000e+00,2.778841793372193415e-05
6.428571428571428825e+00,3.156987626801579378e-07
6.607142857142857650e+00,9.353566133557954552e-06
6.785714285714285587e+00,2.520581997806479419e-06
6.964285714285714413e+00,5.828849145035027216e-05
7.142857142857143238e+00,1.124976213367567312e-05
7.321428571428571175e+00,2.754201889843023985e-05
7.500000000000000000e+00,1.859563179696213967e-05
7.678571428571428825e+00,2.089315064999866555e-05
7.857142857142857650e+00,4.675050589846217833e-05
8.035714285714286476e+00,2.913551223769635616e-05
8.214285714285715301e+00,1.379386485720695479e-05
8.392857142857142350e+00,4.273097048041444066e-05
8.571428571428571175e+00,4.580325607458557630e-05
8.750000000000000000e+00,4.000217666239531355e-06
8.928571428571428825e+00,8.482357598561257600e-06
9.107142857142857650e+00,3.081132804433775414e-05
9.285714285714286476e+00,7.685487847217135207e-06
9.464285714285715301e+00,2.563575801169513843e-06
9.642857142857142350e+00,7.274487371848491126e-06
9.821428571428571175e+00,2.356290855472404510e-05
1.000000000000000000e+01,2.613329425530959156e-06
1.017857142857142883e+01,7.996366449464130808e-06
1.035714285714285765e+01,1.270275197629217642e-05
1.053571428571428648e+01,2.926117778931868439e-05
1.071428571428571530e+01,2.526549597920171210e-05
1.089285714285714235e+01,4.985047851058274769e-06
1.107142857142857117e+01,6.082296552788839635e-06
1.125000000000000000e+01,2.086412133804054404e-06
1.142857142857142883e+01,5.723934333426941324e-06
1.160714285714285765e+01,2.229690108200576685e-06
1.178571428571428648e+01,7.171130568695244399e-06
1.196428571428571530e+01,3.004219046598158386e-06
1.214285714285714235e+01,3.032476062488200785e-05
1.232142857142857117e+01,1.126845813643543291e-04
1.250000000000000000e+01,1.527537628870891391e-05
1.267857142857142883e+01,1.127442273746653114e-06
1.285714285714285765e+01,2.299049620628870646e-05
1.303571428571428648e+01,6.111354071652227643e-06
1.321428571428571530e+01,1.313285426699720256e-05
1.339285714285714235e+01,5.684482397783066827e-05
1.357142857142857117e+01,2.087771698773518471e-05
1.375000000000000000e+01,2.032496741292242498e-05
1.392857142857142883e+01,1.604882541821160076e-06
1.410714285714285765e+01,1.372375898687012379e-05
1.428571428571428648e+01,7.381044881547692987e-06
1.446428571428571530e+01,2.258241949777418968e-06
1.464285714285714235e+01,4.197713235347056823e-07
1.482142857142857117e+01,3.290401844087061747e-08
1.500000000000000000e+01,1.676254761476641007e-07
1.517857142857142883e+01,6.147604870525200928e-08
1.535714285714285765e+01,8.549084391106364514e-07
1.553571428571428648e+01,1.268947985922169786e-06
1.571428571428571530e+01,6.139758834457846323e-06
1.589285714285714235e+01,6.885311794203847128e-06
1.607142857142857295e+01,7.601966524061656085e-07
1.625000000000000000e+01,3.411937085229267313e-06
1.642857142857143060e+01,2.162285525151605280e-06
1.660714285714285765e+01,8.531889289309944606e-06
1.678571428571428470e+01,2.758762998590582696e-06
1.696428571428571530e+01,2.173034164307946492e-06
1.714285714285714235e+01,9.216164530689090773e-06
1.732142857142857295e+01,5.832794130687091494e-07
1.750000000000000000e+01,2.785950657327702790e-06
1.767857142857143060e+01,8.296472892941627494e-06
1.785714285714285765e+01,1.134557709129057070e-05
1.803571428571428470e+01,2.546862751670824475e-06
1.821428571428571530e+01,2.312192145070395908e-06
1.839285714285714235e+01,4.986683435833809482e-07
1.857142857142857295e+01,1.831634138412912600e-06
1.875000000000000000e+01,3.450279799190250708e-07
1.892857142857143060e+01,3.064408250517523347e-08
1.910714285714285765e+01,1.181135184210858635e-06
1.928571428571428470e+01,2.482343769376965865e-06
1.946428571428571530e+01,2.934390024609478786e-06
1.964285714285714235e+01,1.267851039580204993e-06
1.982142857142857295e+01,1.454563755028001360e-06
2.000000000000000000e+01,3.123184136561061561e-07
2.017857142857143060e+01,4.975430648548427409e-07
