# meep=1.28.0 res=25.0 lam=1.55 f=6.0 y_focus=5.80 fwhm=0.625 dl=0.904 eff=0.420 cols=x_um,intensity
-3.000000000000000000e+00,6.837779881282067540e-02
-2.937500000000000000e+00,4.822732360535985502e-02
-2.875000000000000000e+00,2.807021591493854065e-02
-2.812500000000000000e+00,1.118219894899608914e-02
-2.750000000000000000e+00,1.561026456967257083e-03
-2.687500000000000000e+00,2.170174321164163381e-03
-2.625000000000000000e+00,1.484876024240376798e-02
-2.562500000000000000e+00,3.971608386104956423e-02
-2.500000000000000000e+00,7.460230214398941295e-02
-2.437500000000000000e+00,1.160862014214339710e-01
-2.375000000000000000e+00,1.580269556276958087e-01
-2.312500000000000000e+00,1.954756037653435918e-01
-2.250000000000000000e+00,2.220212681674003652e-01
-2.187500000000000000e+00,2.336116801265027410e-01
-2.125000000000000000e+00,2.288015170445922564e-01
-2.062500000000000000e+00,2.066941598449913708e-01
-2.000000000000000000e+00,1.723541568136723878e-01
-1.937500000000000000e+00,1.285112820244443121e-01
-1.875000000000000000e+00,8.549369974502891989e-02
-1.812500000000000000e+00,5.071657103106606834e-02
-1.750000000000000000e+00,3.307262632339724034e-02
-1.687500000000000000e+00,3.847695689761521792e-02
-1.625000000000000000e+00,6.977764740289746359e-02
-1.562500000000000000e+00,1.261693211989634578e-01
-1.500000000000000000e+00,2.021573826471536328e-01
-1.437500000000000000e+00,2.904425465913842430e-01
-1.375000000000000000e+00,3.780133641168087477e-01
-1.312500000000000000e+00,4.545159477366056411e-01
-1.250000000000000000e+00,5.065254484041709082e-01
-1.187500000000000000e+00,5.253379426348105952e-01
-1.125000000000000000e+00,5.073396001087483453e-01
-1.062500000000000000e+00,4.510508270094644168e-01
-1.000000000000000000e+00,3.692386199935794311e-01
-9.375000000000000000e-01,2.701111521500767498e-01
-8.750000000000000000e-01,1.770854051568969412e-01
-8.125000000000000000e-01,1.082580430274531352e-01
-7.500000000000000000e-01,8.508994792644485050e-02
-6.875000000000000000e-01,1.246310769894471149e-01
-6.250000000000000000e-01,2.389262123643886571e-01
-5.625000000000000000e-01,4.323457508474882749e-01
-5.000000000000000000e-01,6.998068651785055438e-01
-4.375000000000000000e-01,1.029144313829620572e+00
-3.750000000000000000e-01,1.395618860011718532e+00
-3.125000000000000000e-01,1.775915072774677306e+00
-2.500000000000000000e-01,2.135803191796243894e+00
-1.875000000000000000e-01,2.443767003256239079e+00
-1.250000000000000000e-01,2.674319947047042678e+00
-6.250000000000000000e-02,2.797118207356271924e+00
0.000000000000000000e+00,2.814369393334859470e+00
6.250000000000000000e-02,2.703579360767669915e+00
1.250000000000000000e-01,2.495970128324598747e+00
1.875000000000000000e-01,2.196516965416125622e+00
2.500000000000000000e-01,1.838870000685497219e+00
3.125000000000000000e-01,1.450700186386492119e+00
3.750000000000000000e-01,1.064049455066655936e+00
4.375000000000000000e-01,7.117965631976115315e-01
5.000000000000000000e-01,4.167176819520151954e-01
5.625000000000000000e-01,1.973521462453809994e-01
6.250000000000000000e-01,6.027034581184684964e-02
6.875000000000000000e-01,3.244075812942311468e-03
7.500000000000000000e-01,1.602496485284584868e-02
8.125000000000000000e-01,8.176158814787584661e-02
8.750000000000000000e-01,1.811197375949930299e-01
9.375000000000000000e-01,2.918711927448980337e-01
1.000000000000000000e+00,3.982125231353619288e-01
1.062500000000000000e+00,4.781503607461936589e-01
1.125000000000000000e+00,5.272483154112180825e-01
1.187500000000000000e+00,5.352443107034299263e-01
1.250000000000000000e+00,5.067546917060030687e-01
1.312500000000000000e+00,4.475089251084821140e-01
1.375000000000000000e+00,3.678112071445551745e-01
1.437500000000000000e+00,2.821681885252052546e-01
1.500000000000000000e+00,2.008718534607192296e-01
1.562500000000000000e+00,1.361892220299660838e-01
1.625000000000000000e+00,9.334062573290899389e-02
1.687500000000000000e+00,7.616961781522622876e-02
1.750000000000000000e+00,8.344650671695082178e-02
1.812500000000000000e+00,1.112011161982514179e-01
1.875000000000000000e+00,1.532483931083440665e-01
1.937500000000000000e+00,2.005843942682825065e-01
2.000000000000000000e+00,2.470454272469243262e-01
2.062500000000000000e+00,2.820803546914326665e-01
2.125000000000000000e+00,3.037060639126966111e-01
2.187500000000000000e+00,3.059588549362642351e-01
2.250000000000000000e+00,2.907448441034156672e-01
2.312500000000000000e+00,2.603907357007542722e-01
2.375000000000000000e+00,2.192328130544325404e-01
2.437500000000000000e+00,1.734045530976901783e-01
2.500000000000000000e+00,1.268673883748962783e-01
2.562500000000000000e+00,8.535290748774614078e-02
2.625000000000000000e+00,5.147071921867388961e-02
2.687500000000000000e+00,2.786170282947211113e-02
2.750000000000000000e+00,1.484499953767521099e-02
2.812500000000000000e+00,1.155192487260165747e-02
2.875000000000000000e+00,1.597938525908771876e-02
2.937500000000000000e+00,2.519465258338621574e-02
3.000000000000000000e+00,3.675624033266476631e-02
3.062500000000000000e+00,4.696558992960885720e-02
3.125000000000000000e+00,5.436654485134220782e-02
3.187500000000000000e+00,5.680686450436213397e-02
3.250000000000000000e+00,5.457193455465220860e-02
3.312500000000000000e+00,4.821659000708515552e-02
3.375000000000000000e+00,3.904601163320276652e-02
3.437500000000000000e+00,2.892319113602214581e-02
3.500000000000000000e+00,1.901494786544988616e-02
3.562500000000000000e+00,1.114067307110366313e-02
3.625000000000000000e+00,6.078502981194688383e-03
