# meep=1.28.0 res=30.0 lam=1.55 cols=d_um,T_rel_substrate,phase_rad circular_cover=6.20rad
1.920000000000000040e-01,4.528816601441277290e-01,3.007379846905076093e+00
1.920000000000000318e-01,4.528816601441288947e-01,3.007379846905074317e+00
1.940000000000000058e-01,4.570915780695494202e-01,3.031758909060894958e+00
1.960000000000000075e-01,4.653582907262129864e-01,3.059730753523273616e+00
1.960000000000000353e-01,4.653582907262107105e-01,3.059730753523274505e+00
1.980000000000000093e-01,4.811158596824173239e-01,3.095065312689395665e+00
2.000000000000000111e-01,4.928353954228040790e-01,3.127490757517411790e+00
2.020000000000000129e-01,5.601955055763555569e-01,-3.070228734210021848e+00
2.040000000000000147e-01,5.771040029637588553e-01,-3.030300470437928606e+00
2.060000000000000164e-01,6.076526198338045859e-01,-2.985728303925235583e+00
2.080000000000000182e-01,6.303931695240743149e-01,-2.941591093216872288e+00
2.099999999999999922e-01,6.705424216017301653e-01,-2.886627915081714235e+00
2.119999999999999940e-01,6.946596194371166266e-01,-2.835997869417098194e+00
2.120000000000000218e-01,6.946596194371168487e-01,-2.835997869417098194e+00
2.139999999999999958e-01,7.381835425587899291e-01,-2.781278050737646446e+00
2.159999999999999976e-01,7.685094994284867864e-01,-2.719823758103955935e+00
2.160000000000000253e-01,7.685094994284847880e-01,-2.719823758103958156e+00
2.179999999999999993e-01,7.980258561019588637e-01,-2.666764953762640999e+00
2.200000000000000011e-01,8.332456435703340381e-01,-2.600433131726370917e+00
2.200000000000000289e-01,8.332456435703377018e-01,-2.600433131726371805e+00
2.220000000000000029e-01,8.566413973565182305e-01,-2.531729003016294666e+00
2.240000000000000047e-01,8.917109662299820272e-01,-2.471666884027637678e+00
2.240000000000000324e-01,8.917109662299784745e-01,-2.471666884027635902e+00
2.260000000000000064e-01,9.363699937859968347e-01,-2.397709365828930128e+00
2.280000000000000082e-01,9.685834842309295478e-01,-2.321047209305460157e+00
2.280000000000000360e-01,9.685834842309316572e-01,-2.321047209305459713e+00
2.300000000000000100e-01,9.796575388214348035e-01,-2.238455471235350380e+00
2.320000000000000118e-01,9.875397224674226093e-01,-2.161334207479362668e+00
2.320000000000000395e-01,9.875397224674212771e-01,-2.161334207479359559e+00
2.339999999999999858e-01,1.015811116450264340e+00,-2.098267765193572831e+00
2.359999999999999876e-01,1.025293914004504092e+00,-2.052933567741997756e+00
2.360000000000000431e-01,1.025293914004504536e+00,-2.052933567741997756e+00
2.379999999999999893e-01,1.005173562515969010e+00,-2.003874766681957187e+00
2.399999999999999911e-01,9.908783037377068004e-01,-1.962193589909654312e+00
2.400000000000000466e-01,9.908783037377101310e-01,-1.962193589909655200e+00
2.419999999999999929e-01,9.831643312308816496e-01,-1.921474594064458641e+00
2.439999999999999947e-01,9.916189992341311044e-01,-1.879578712411321018e+00
2.440000000000000502e-01,9.916189992341257753e-01,-1.879578712411319463e+00
2.459999999999999964e-01,9.722013108054518016e-01,-1.830704870784864102e+00
2.479999999999999982e-01,9.474650110167647243e-01,-1.783318520580017275e+00
2.480000000000000537e-01,9.474650110167636141e-01,-1.783318520580014610e+00
2.500000000000000000e-01,9.278156587690066237e-01,-1.743307372561845092e+00
2.520000000000000573e-01,9.170458679623357812e-01,-1.706946072833769090e+00
2.560000000000000608e-01,8.940333137309190992e-01,-1.627927164950323524e+00
2.600000000000000089e-01,8.430602106383544569e-01,-1.540218332671763557e+00
2.600000000000000644e-01,8.430602106383574545e-01,-1.540218332671765333e+00
2.640000000000000679e-01,7.956790645354319125e-01,-1.461573539335734084e+00
2.650000000000000133e-01,7.809488198648980584e-01,-1.445513874605382831e+00
2.680000000000000715e-01,7.222057529605431236e-01,-1.348812855671513100e+00
2.700000000000000178e-01,7.004136441099275689e-01,-1.314359059368120475e+00
2.720000000000000751e-01,6.814618291052058074e-01,-1.275881432310131292e+00
2.750000000000000222e-01,6.441638084517592455e-01,-1.222953714942230041e+00
2.760000000000000231e-01,6.263849524920035439e-01,-1.201520684307034736e+00
2.800000000000000266e-01,5.875704411042347308e-01,-1.141347343610822129e+00
2.840000000000000302e-01,5.611201622904428143e-01,-1.082830771787450352e+00
2.850000000000000311e-01,5.414828435604257528e-01,-1.053106946766390939e+00
2.880000000000000338e-01,5.083127519263489491e-01,-1.013495446975050118e+00
2.900000000000000355e-01,5.004144519411336534e-01,-1.019329041272308389e+00
2.920000000000000373e-01,4.836131487213678470e-01,-9.688040968862130509e-01
2.950000000000000400e-01,4.655852996298368018e-01,-9.555992646037559934e-01
2.960000000000000409e-01,4.599773089888154476e-01,-9.347480738742343087e-01
3.000000000000000444e-01,4.334479422151501504e-01,-8.835788993243407496e-01
3.040000000000000480e-01,4.222663495646575837e-01,-8.721546230346971518e-01
3.050000000000000488e-01,4.224274495914442373e-01,-8.680568740301010111e-01
3.080000000000000515e-01,4.220997316116744669e-01,-8.243787044294141886e-01
3.099999999999999978e-01,4.092297109835523194e-01,-7.847155741786533412e-01
3.120000000000000551e-01,3.916949914909074182e-01,-7.805929667599041943e-01
3.150000000000000022e-01,3.880248396347759643e-01,-8.027787875085810043e-01
3.160000000000000586e-01,3.906498580616166727e-01,-7.922364073947401053e-01
3.200000000000000067e-01,3.919198040615587963e-01,-7.769738690892907806e-01
3.200000000000000622e-01,3.919198040615585188e-01,-7.769738690892944444e-01
3.240000000000000657e-01,3.666842889854779464e-01,-7.312131256996892148e-01
3.250000000000000111e-01,3.635817204224999211e-01,-7.330227999514776771e-01
3.280000000000000693e-01,3.679229375380392297e-01,-7.403667560505945433e-01
3.300000000000000155e-01,3.685273394291299076e-01,-7.305373624719226910e-01
3.320000000000000728e-01,3.680133078339915542e-01,-6.996938689922577170e-01
3.350000000000000200e-01,3.604723968764385056e-01,-6.936457570621586965e-01
3.360000000000000764e-01,3.632064454943568776e-01,-6.736582319611293945e-01
3.400000000000000244e-01,3.653550232687977628e-01,-6.637963264231379057e-01
3.400000000000000799e-01,3.653550232687969856e-01,-6.637963264231345750e-01
3.440000000000000835e-01,3.544659269507539068e-01,-6.195383656766730862e-01
3.480000000000000870e-01,3.510299215076543855e-01,-6.306539076617673212e-01
3.520000000000000906e-01,3.538843591105839681e-01,-5.747168645771485451e-01
3.560000000000000941e-01,3.520224238997524679e-01,-5.574954529786189106e-01
3.600000000000000977e-01,3.457264971436816992e-01,-5.399078531796236424e-01
3.640000000000001013e-01,3.557032065120790953e-01,-5.068764927692441802e-01
3.680000000000001048e-01,3.402912838552302199e-01,-4.712050960820618473e-01
3.720000000000001084e-01,3.394663584303456716e-01,-5.222243343056113263e-01
3.760000000000001119e-01,3.624210820944819833e-01,-4.870565560321002962e-01
3.800000000000000600e-01,3.620274836819789011e-01,-4.467720940094656590e-01
3.840000000000000635e-01,3.682730889166281329e-01,-4.495033070741613068e-01
3.880000000000000671e-01,3.791850412423493077e-01,-3.880726814490584875e-01
3.920000000000000706e-01,3.675804047862114565e-01,-3.975524801820391474e-01
3.960000000000000742e-01,3.898061579471101545e-01,-3.868065236068944923e-01
4.000000000000000777e-01,3.831134698030513874e-01,-3.237271656917053986e-01
4.040000000000000813e-01,4.107979761557791210e-01,-3.847309880310174623e-01
4.080000000000000848e-01,4.960025485882536000e-01,-2.934706399583068004e-01
4.120000000000000884e-01,4.428200483644799124e-01,-1.697693339459062645e-01
4.160000000000000919e-01,3.732730222907886808e-01,-2.656963034969465620e-01
4.200000000000000955e-01,5.069010800315908449e-01,-3.187633403200604842e-01
4.240000000000000990e-01,6.801151228449293651e-01,-1.181874985689539692e-01
4.280000000000001026e-01,6.345619830918234339e-01,1.278119024338158771e-01
4.320000000000001061e-01,3.882416768486933734e-01,3.218521874059706578e-01
4.360000000000001097e-01,1.704785817747329901e-01,2.642584920516065639e-01
4.400000000000001132e-01,1.390111171864214512e-01,-2.841654268641287673e-01
4.440000000000001168e-01,3.048946006415196308e-01,-4.275913286639942967e-01
4.480000000000001203e-01,4.556969947391656395e-01,-2.569990933031752189e-01
4.520000000000001239e-01,4.416397264154586777e-01,-3.761005976595214323e-02
4.560000000000001275e-01,2.804350534279682061e-01,5.969943777726254702e-02
4.600000000000000200e-01,1.800059477832458288e-01,-2.677659144049410189e-01
4.600000000000001310e-01,1.800059477832442745e-01,-2.677659144049677753e-01
4.640000000000001346e-01,3.130720478173383281e-01,-5.147504486120368927e-01
4.650000000000000244e-01,3.675751024366838982e-01,-5.195671124040059929e-01
4.680000000000000826e-01,6.195290617602424721e-01,-3.999362151469361137e-01
4.700000000000000289e-01,7.164576585932025399e-01,-2.949142684950387672e-01
4.720000000000000862e-01,7.602359613548310691e-01,-2.040882764067886435e-01
4.750000000000000333e-01,7.594273566440264966e-01,-9.201302357598641068e-02
4.760000000000000897e-01,7.498118050160826886e-01,-6.139810456695792007e-02
4.799999999999999822e-01,6.854287833282316500e-01,-1.540835116558412175e-02
4.800000000000000933e-01,6.854287833282304288e-01,-1.540835116558242172e-02
4.840000000000000968e-01,6.971099941112467446e-01,5.679633701667989240e-03
